"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966860042388541440",2018-02-23 02:19:32,"x2930635215","RepNewhouse","RT @TriCityHerald: Sen. Murray bashes Rep. Newhouse's legislation to guard against breaching Snake dams. https://t.co/D5c9TF9ooB https://t.…","Twitter for iPhone",,,,FALSE,TRUE,0,2,,,"tri-cityherald.com/news/local/art…","https://t.co/D5c9TF9ooB","http://www.tri-cityherald.com/news/local/article201669989.html",,,,,,,,,"x12763982","TriCityHerald","en",,,"x966859248859725824","Sen. Murray bashes Rep. Newhouse's legislation to guard against breaching Snake dams. https://t.co/D5c9TF9ooB https://t.co/HLxm3rQHRf",,,,,,,,,
"x966315430783737856",2018-02-21 14:15:26,"x2930635215","RepNewhouse","I remember as a kid looking forward to watching Billy Graham's television specials. He was a great man of faith who dedicated his life to fulfilling the Great Commission and preaching the Gospel to millions of people around the world. Now he has been called home to heaven.","Twitter Web Client",,,,FALSE,FALSE,28,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x965971605598896128",2018-02-20 15:29:12,"x2930635215","RepNewhouse","I met with Yakima seniors, @protectmyMA to discuss importance of preserving Medicare Advantage. ""The Medicare Advantage is a really important part for some of those really quality of life kinds of equipment and services."" #WA04 Story via @kimatv https://t.co/6bPGNIgvVv","Twitter Web Client",,,,FALSE,FALSE,5,5,"WA04",,"kimatv.com/news/local/new…","https://t.co/6bPGNIgvVv","http://kimatv.com/news/local/newhouse-shows-his-support-for-medicare-advantage",,,,,,,,,"x1195343436 26819424","protectmyMA kimatv","en",,,,,,,,,,,,,
"x963818943168335873",2018-02-14 16:55:17,"x2930635215","RepNewhouse","RT @NatResources: Roses are red,
Violets are blue,
It shouldn't take 7 years to complete an environmental review!

#ValentinesDay https://t…","Twitter Web Client",,,,FALSE,TRUE,0,35,"ValentinesDay",,,,,,,,,,,,,"x41445718","NatResources","en",,,"x963794192450445312","Roses are red,
Violets are blue,
It shouldn't take 7 years to complete an environmental review!

#ValentinesDay https://t.co/XxTQBrjFwM",,,,,,,,,
"x963427135783342081",2018-02-13 14:58:23,"x2930635215","RepNewhouse","RT @ChukarCherries: We had a great time showing @RepNewhouse our factory and treating him to some samples today! Thank you so much for stop…","Twitter Web Client",,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x25130257 2930635215","ChukarCherries RepNewhouse","en",,,"x963201613249818625","We had a great time showing @RepNewhouse our factory and treating him to some samples today! Thank you so much for stopping by. It is always a pleasure! #local  #ChukarCherries https://t.co/tqOfugt1IW",,,,,,,,,
"x962051105843683329",2018-02-09 19:50:32,"x2930635215","RepNewhouse","I voted no on the budget package that enables the federal government to continue its out-of-control spending. We must find ways to rein in our national debt. Read my full statement here: https://t.co/guo9NHu1KY","Twitter Web Client",,,,FALSE,FALSE,17,7,,,"newhouse.house.gov/media-center/p…","https://t.co/guo9NHu1KY","https://newhouse.house.gov/media-center/press-releases/newhouse-statement-no-vote-budget-package",,,,,,,,,,,"en",,,,,,,,,,,,,
"x961320849382035456",2018-02-07 19:28:45,"x2930635215","RepNewhouse","I caught up with @NCWLIFE's “12th District” guest-host Jon Wyss on issues that are important to #WA04. We touched on the federal budget, immigration, #WOTUS, tax reform, and more. Click here to see where you'll be able to watch: https://t.co/6C0TQkuSYM https://t.co/O2Sd2i63vY","Twitter Web Client",,,,FALSE,FALSE,5,4,"WA04 WOTUS",,"ncwlife.com/12th-district-…","https://t.co/6C0TQkuSYM","http://www.ncwlife.com/12th-district-cary-condotta/","http://pbs.twimg.com/media/DVdMEaZWAAAM49E.jpg","https://t.co/O2Sd2i63vY","https://twitter.com/RepNewhouse/status/961320849382035456/photo/1","photo","http://pbs.twimg.com/media/DVdMEaZWAAAM49E.jpg http://pbs.twimg.com/media/DVdMEciXcAAy-oL.jpg","https://t.co/O2Sd2i63vY https://t.co/O2Sd2i63vY","https://twitter.com/RepNewhouse/status/961320849382035456/photo/1 https://twitter.com/RepNewhouse/status/961320849382035456/photo/1",,"x3309047984","NCWLIFE","en",,,,,,,,,,,,,
"x961302091737296897",2018-02-07 18:14:13,"x2930635215","RepNewhouse","RT @WAWheat23: Thank you @RepNewhouse for the great visit today on Trade, Farmbill and Infrastructure!! We thank you for your service. #whe…","Twitter for iPhone",,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,"x827924192515403776 2930635215","WAWheat23 RepNewhouse","en",,,"x961294375484567552","Thank you @RepNewhouse for the great visit today on Trade, Farmbill and Infrastructure!! We thank you for your service. #wheat #TPP #Cropinsurance @wheatworld @WAWheatGrowers @TPP_live https://t.co/jiSigjBvKc",,,,,,,,,
"x961255986496524289",2018-02-07 15:11:01,"x2930635215","RepNewhouse","The power of prayer is real, both in our lives and on behalf of our nation. Thank you to Micah and Elizabeth Trautman from Moses Lake for the kind words and for joining in prayer at this morning's Washington State National Prayer Breakfast. #WA04 https://t.co/j24288cf4z","Twitter Web Client",,,,FALSE,FALSE,10,3,"WA04",,,,,"http://pbs.twimg.com/media/DVcRKMQWsAE7ZCM.jpg","https://t.co/j24288cf4z","https://twitter.com/RepNewhouse/status/961255986496524289/photo/1","photo","http://pbs.twimg.com/media/DVcRKMQWsAE7ZCM.jpg","https://t.co/j24288cf4z","https://twitter.com/RepNewhouse/status/961255986496524289/photo/1",,,,"en",,,,,,,,,,,,,
"x961038353507463168",2018-02-07 00:46:13,"x2930635215","RepNewhouse","Tonight I voted to provide funding for our troops and authorize two years of funding for Community Health Centers, which provide critical services to communities across the country and in #WA04. My full statement here: https://t.co/EgHGMbz5JB","Twitter Web Client",,,,FALSE,FALSE,7,2,"WA04",,"newhouse.house.gov/media-center/p…","https://t.co/EgHGMbz5JB","https://newhouse.house.gov/media-center/press-releases/newhouse-statement-vote-fund-federal-government-military-and-community",,,,,,,,,,,"en",,,,,,,,,,,,,
